,index,Tahun,Comments,preprocessed,tokenize_text,label,score
0,0,2023,Joker iwak peyek,joker iwak peyek,"['joker', 'iwak', 'peyek']",netral,0
1,1,2023,KA saya mau dong,kak,['kak'],netral,0
2,2,2023,Abang  ,abang,['abang'],netral,0
3,3,2023,Ka   aku udah follow. Pengen hadiah serba merah dong kak â¤ï¸ğ?«°ğ??ğ??ğ??,kak follow pengin hadiah serba merah kak hati merah lipat tangan lipat tangan lipat tangan,"['kak', 'follow', 'pengin', 'hadiah', 'serba', 'merah', 'kak', 'hati', 'merah', 'lipat', 'tangan', 'lipat', 'tangan', 'lipat', 'tangan']",positif,6
4,4,2023,Aku sering ke puri mall tapi gak pernah ketemu k riccienick ataupun ka willyğ??¢,puri mal ketemu riccienick kak willy wajah menang,"['puri', 'mal', 'ketemu', 'riccienick', 'kak', 'willy', 'wajah', 'menang']",netral,0
5,5,2023,Bagi uangnya kak 200k   ğ??,uang kak k lipat tangan,"['uang', 'kak', 'k', 'lipat', 'tangan']",positif,1
6,7,2023,  semoga yang di harapkan terkabulkan amin..,moga harap kabul amin,"['moga', 'harap', 'kabul', 'amin']",positif,1
7,8,2023,"  kaa aku udh paket lengkap,cita cita pengen kebeli iphone,tapi ga kebeli kebeli",kak paket lengkap cita cita pengin kebel iphone kebel kebel,"['kak', 'paket', 'lengkap', 'cita', 'cita', 'pengin', 'kebel', 'iphone', 'kebel', 'kebel']",positif,3
8,9,2023,Sudah paket lengkap.. semoga yang di harapkan terkabulkan amin,paket lengkap moga harap kabul amin,"['paket', 'lengkap', 'moga', 'harap', 'kabul', 'amin']",positif,4
9,10,2023,Kukira di blkang e ada kak willie salim,kira e kak willie salim,"['kira', 'e', 'kak', 'willie', 'salim']",positif,4
10,11,2023,Seneng ngiliatnya para yutuber,senang ngiliatnya yutuber,"['senang', 'ngiliatnya', 'yutuber']",positif,1
11,12,2023,Semoga Rezekinya Nularr Aaminnn ğ?¤²,moga rezeki nular amin tangan angkat dan rapat sama,"['moga', 'rezeki', 'nular', 'amin', 'tangan', 'angkat', 'dan', 'rapat', 'sama']",positif,9
12,13,2023,Awal Agustus semoga dapet transfer an soalnya uang didana tinggal seribu rupiah,agustus moga transfer an uang dana tinggal ribu rupiah,"['agustus', 'moga', 'transfer', 'an', 'uang', 'dana', 'tinggal', 'ribu', 'rupiah']",positif,3
13,14,2023,"Salam kenal dr palopo Sulawesi selatan,semoga dpt rejeki dr kak amin3x ya allah",salam kenal palopo sulawesi selatan moga rejeki kak aminx ya allah,"['salam', 'kenal', 'palopo', 'sulawesi', 'selatan', 'moga', 'rejeki', 'kak', 'aminx', 'ya', 'allah']",positif,11
14,16,2023,Bg coba beli semangka tapi sepotong ajağ??? TF 1jt bg buat berobat adik ku:(,bang coba beli semangka potong wajah gembira urai air mata tf jt bang obat adik ku,"['bang', 'coba', 'beli', 'semangka', 'potong', 'wajah', 'gembira', 'urai', 'air', 'mata', 'tf', 'jt', 'bang', 'obat', 'adik', 'ku']",negatif,-6
15,17,2023,Semoga bisa punya rejeki lebih biar bisa kaya kak    sehat selalu orang baik semoga komen ku dibaca ya kak,moga rejeki biar kayak kak sehat orang moga komen ku baca ya kak,"['moga', 'rejeki', 'biar', 'kayak', 'kak', 'sehat', 'orang', 'moga', 'komen', 'ku', 'baca', 'ya', 'kak']",positif,8
16,18,2023,Yg belakang wiliiizğ??,wiliiz wajah senyum lebar mata hati,"['wiliiz', 'wajah', 'senyum', 'lebar', 'mata', 'hati']",negatif,-1
